epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2554.2,1.53425,1.07012,1.28007,0.65958,0.69689,0.72321,0.41722,1.56933,0.98648,1.30948,0.0095941,0.0095941,0.0095941
43,2614.34,1.52564,1.05233,1.27697,0.67046,0.71175,0.72846,0.41662,1.57009,0.9791,1.31375,0.0095842,0.0095842,0.0095842
44,2674.27,1.53828,1.05891,1.28647,0.68012,0.68377,0.72498,0.41641,1.57129,0.98265,1.31822,0.0095743,0.0095743,0.0095743
45,2734.23,1.53415,1.05702,1.27831,0.67819,0.66836,0.72516,0.42119,1.56513,0.97346,1.30824,0.0095644,0.0095644,0.0095644
46,2794.49,1.52722,1.05301,1.27747,0.70479,0.69117,0.73444,0.42554,1.56921,0.97369,1.3062,0.0095545,0.0095545,0.0095545
47,2854.29,1.52631,1.04674,1.27462,0.68894,0.70106,0.73315,0.4193,1.56153,0.97847,1.30369,0.0095446,0.0095446,0.0095446
48,2914.18,1.52781,1.04771,1.27543,0.68172,0.69139,0.72909,0.42229,1.56359,0.97269,1.30787,0.0095347,0.0095347,0.0095347
49,2974.36,1.53094,1.04552,1.27523,0.67536,0.68287,0.72511,0.42029,1.56495,0.97302,1.3065,0.0095248,0.0095248,0.0095248
50,3034.26,1.52523,1.04608,1.27079,0.66791,0.69593,0.71806,0.41529,1.56331,0.97059,1.30387,0.0095149,0.0095149,0.0095149
51,3093.84,1.52353,1.0439,1.27795,0.69854,0.68861,0.73388,0.42515,1.5552,0.981,1.29974,0.009505,0.009505,0.009505
52,3153.71,1.51922,1.03554,1.26887,0.70293,0.6746,0.73214,0.42344,1.56335,0.96682,1.30035,0.0094951,0.0094951,0.0094951
53,3213.95,1.53069,1.04449,1.27331,0.70171,0.68029,0.73653,0.42354,1.55017,0.96809,1.29628,0.0094852,0.0094852,0.0094852
54,3273.69,1.51566,1.03214,1.2719,0.68628,0.68736,0.72342,0.41997,1.55945,0.96412,1.30185,0.0094753,0.0094753,0.0094753
55,3333.77,1.5157,1.03336,1.27304,0.66956,0.70349,0.72867,0.42371,1.55944,0.95666,1.30341,0.0094654,0.0094654,0.0094654
56,3393.82,1.52331,1.03101,1.27351,0.67797,0.69349,0.71494,0.41607,1.56019,0.95271,1.30246,0.0094555,0.0094555,0.0094555
57,3453.8,1.52357,1.03245,1.2709,0.68095,0.70613,0.7343,0.42992,1.55863,0.95031,1.29995,0.0094456,0.0094456,0.0094456
58,3513.53,1.51825,1.03269,1.26796,0.66175,0.70414,0.73535,0.43007,1.55604,0.95334,1.29516,0.0094357,0.0094357,0.0094357
59,3573.22,1.52236,1.02768,1.26732,0.6719,0.69374,0.73414,0.42648,1.54935,0.95648,1.28971,0.0094258,0.0094258,0.0094258
60,3633.64,1.51243,1.02302,1.26736,0.69157,0.68977,0.74019,0.43509,1.55244,0.94735,1.29048,0.0094159,0.0094159,0.0094159
61,3693.88,1.5117,1.0259,1.27001,0.66537,0.69729,0.73144,0.42535,1.55227,0.95269,1.29375,0.009406,0.009406,0.009406
62,3753.68,1.50951,1.01827,1.26116,0.67432,0.69911,0.72907,0.42454,1.55715,0.94687,1.29504,0.0093961,0.0093961,0.0093961
63,3813.45,1.51008,1.02139,1.2635,0.6703,0.70975,0.73056,0.4253,1.5576,0.94468,1.2902,0.0093862,0.0093862,0.0093862
64,3873.68,1.51702,1.02638,1.26558,0.6678,0.71544,0.73618,0.43052,1.55103,0.94059,1.29126,0.0093763,0.0093763,0.0093763
